Time   ID     DLC Data                    Comment
00.000 199      6 FF F9 B3 7E FF BF       
00.000 0A5      8 CA 05 B4 47 7B 00 00 71 
00.000 0F3      8 B6 0A 00 C0 F0 C4 FF FF 
00.000 1C4      7 00 00 00 00 47 20 52    
00.000 1A1      5 89 C5 00 00 8A          
00.000 1C5      7 00 00 00 00 47 20 52    
00.000 21A      3 00 00 F7                
00.000 36A      2 F5 FF                   
00.000 257      8 1D 06 FF FF FF FF FF FF 
00.000 302      7 FF FB FF 7F F8 FF FF    
00.000 1AE      2 FB FF                   
00.000 0D9      8 33 F7 00 10 00 E0 7F C0 
00.000 199      6 FF FB BF 7E FF BF       
00.000 19A      6 FF FB F3 7E FF 8F       
00.000 2BF      3 FF FF FF                
00.000 1A6      8 00 00 00 00 00 00 20 FD 
00.000 0A5      8 70 07 B4 47 7B 00 00 71 
00.000 173      8 8C F4 00 0E E0 00 0E 00 
00.000 1C4      7 00 00 00 00 49 20 62    
00.000 1E6      8 60 0A F1 11 29 11 11 F1 
00.000 1E0      8 05 0A F1 11 29 11 11 F1 
00.000 3FB      7 C3 21 01 10 01 10 FF    
00.000 302      7 FF FD FF 7F F8 FF FF    
00.000 0D9      8 32 F9 00 10 00 E0 7F C0 
